                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9419,                 2.3681,                 1.8251,                0.52526,                0.53783,                0.48687,                 0.1569,                 2.3596,                 1.6644,                 2.0286,               0.070135,              0.0033183,              0.0033183
                      1,                 1.6382,                 1.4455,                 1.5234,                0.51536,                0.63097,                0.61314,                0.24513,                 2.0359,                 1.5446,                 1.7138,               0.039916,              0.0064321,              0.0064321
                      2,                 1.5924,                 1.3478,                 1.4673,                 0.5775,                0.62446,                0.56793,                  0.195,                 2.3236,                 1.4808,                 1.9525,              0.0094761,               0.009326,               0.009326
                      3,                 1.6077,                 1.3709,                 1.4659,                0.59579,                0.55326,                0.52139,                0.18109,                 2.2935,                 1.7041,                 1.9633,                0.00901,                0.00901,                0.00901
                      4,                 1.5728,                 1.2929,                 1.4427,                0.64687,                0.64837,                0.61877,                0.24369,                 2.0513,                 1.2585,                  1.771,                0.00901,                0.00901,                0.00901
                      5,                  1.551,                 1.2277,                 1.4243,                0.68654,                0.58169,                0.60078,                0.24204,                 2.0433,                 1.3869,                 1.7624,                0.00868,                0.00868,                0.00868
                      6,                 1.5176,                  1.157,                  1.411,                0.77902,                0.61033,                0.70285,                0.26806,                 2.1568,                 1.2359,                 1.7659,                0.00835,                0.00835,                0.00835
                      7,                  1.508,                 1.1322,                 1.3926,                0.70711,                 0.7212,                 0.7331,                0.32573,                 1.9114,                 1.1227,                 1.6361,                0.00802,                0.00802,                0.00802
                      8,                 1.4609,                 1.0713,                 1.3743,                0.78926,                0.63402,                0.69598,                0.24308,                 2.2423,                 1.2127,                 1.9288,                0.00769,                0.00769,                0.00769
                      9,                 1.4348,                 1.0295,                 1.3549,                0.72802,                0.69511,                0.70582,                0.28187,                 1.9995,                 1.1972,                 1.7238,                0.00736,                0.00736,                0.00736
                     10,                 1.4189,                 1.0127,                 1.3518,                0.65504,                0.68696,                0.69924,                  0.289,                 2.0311,                 1.2114,                  1.741,                0.00703,                0.00703,                0.00703
                     11,                 1.3945,                 0.9668,                 1.3202,                0.71408,                0.70598,                0.73601,                0.32705,                 1.9213,                 1.0899,                 1.6769,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.3806,                0.93898,                  1.312,                 0.8592,                0.67825,                0.76718,                0.33625,                 1.9059,                 1.1048,                 1.6599,                0.00637,                0.00637,                0.00637
                     13,                 1.3663,                0.91965,                 1.3113,                0.75253,                0.75598,                0.77557,                0.34403,                 1.8965,                 1.0106,                 1.6482,                0.00604,                0.00604,                0.00604
                     14,                 1.3386,                0.89845,                 1.2955,                0.79259,                0.73587,                 0.7688,                0.32436,                 2.0239,                0.99572,                 1.7175,                0.00571,                0.00571,                0.00571
                     15,                  1.332,                0.88112,                 1.2812,                0.80928,                0.68913,                0.77417,                0.31642,                 1.9991,                 1.0257,                  1.717,                0.00538,                0.00538,                0.00538
                     16,                 1.2979,                0.83886,                 1.2573,                 0.8093,                0.79293,                 0.8401,                0.37141,                 1.9043,                0.89232,                 1.6265,                0.00505,                0.00505,                0.00505
                     17,                 1.2806,                0.82522,                 1.2489,                0.78831,                0.81351,                0.80468,                0.34341,                 1.9877,                 0.9268,                 1.6973,                0.00472,                0.00472,                0.00472
                     18,                 1.2646,                0.81229,                 1.2423,                0.73584,                0.73009,                0.74751,                0.35437,                 1.8226,                 1.0434,                 1.5873,                0.00439,                0.00439,                0.00439
                     19,                 1.2459,                0.78871,                 1.2269,                0.86348,                0.76304,                0.83815,                0.37124,                 1.9132,                0.91729,                  1.657,                0.00406,                0.00406,                0.00406
                     20,                 1.2508,                0.72811,                  1.258,                0.82303,                0.71304,                0.78424,                0.38604,                 1.8054,                 1.0252,                 1.5826,                0.00373,                0.00373,                0.00373
                     21,                 1.2334,                0.71527,                 1.2448,                0.79711,                 0.7673,                0.81659,                0.36485,                  1.872,                0.94507,                 1.6365,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2052,                0.68699,                 1.2293,                 0.8157,                0.77607,                0.81719,                 0.3843,                 1.7665,                0.89776,                 1.5976,                0.00307,                0.00307,                0.00307
                     23,                 1.1849,                0.67232,                 1.2195,                0.82469,                0.78617,                0.82549,                0.36346,                 1.9514,                0.87234,                 1.7424,                0.00274,                0.00274,                0.00274
                     24,                 1.1634,                0.64616,                 1.2052,                0.80987,                0.77599,                0.83012,                0.38006,                 1.8854,                0.88538,                 1.6754,                0.00241,                0.00241,                0.00241
                     25,                 1.1472,                0.63089,                 1.1876,                0.82253,                0.80326,                0.85532,                0.40503,                 1.8323,                0.84911,                 1.5937,                0.00208,                0.00208,                0.00208
                     26,                 1.1161,                0.60702,                 1.1689,                0.81351,                0.84053,                0.85407,                0.39514,                 1.8524,                0.83161,                 1.6238,                0.00175,                0.00175,                0.00175
                     27,                 1.0956,                0.59493,                 1.1537,                0.85899,                0.80272,                0.86369,                0.42374,                 1.7638,                0.78637,                 1.5598,                0.00142,                0.00142,                0.00142
                     28,                 1.0758,                0.57541,                 1.1486,                0.84983,                 0.8488,                0.86673,                0.43638,                 1.7468,                0.76804,                 1.5715,                0.00109,                0.00109,                0.00109
                     29,                 1.0501,                0.56631,                 1.1373,                0.85107,                0.85441,                0.87167,                0.41883,                  1.765,                0.75526,                 1.5968,                0.00076,                0.00076,                0.00076
